Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2020-12-11 00:00:00,3.0,2350.0,1.04,4,yes
2020-12-12 00:00:00,9.0,2769.0,1.18,5,yes
2020-12-13 00:00:00,4.0,3071.0,1.35,6,yes
2020-12-14 00:00:00,6.0,981.0,0.426,0,yes
2020-12-15 00:00:00,6.0,1942.0,0.843,1,yes
2020-12-16 00:00:00,3.0,1832.0,0.817,2,yes
2020-12-17 00:00:00,9.0,5097.0,2.33,3,yes
2020-12-18 00:00:00,10.0,5353.0,2.49,4,yes
2020-12-19 00:00:00,10.0,3868.0,1.71,5,yes
2020-12-20 00:00:00,4.0,1565.0,0.691,6,yes
2020-12-21 00:00:00,10.0,4864.0,2.23,0,yes
2020-12-22 00:00:00,10.0,3365.0,1.65,1,yes
2020-12-23 00:00:00,8.0,2705.0,1.21,2,yes
2020-12-24 00:00:00,14.0,4228.0,2.13,3,yes
2020-12-25 00:00:00,7.0,2186.0,0.937,4,yes
2020-12-26 00:00:00,6.0,1774.0,0.793,5,yes
2020-12-27 00:00:00,8.0,3296.0,1.44,6,yes
2020-12-28 00:00:00,3.0,1434.0,0.637,0,yes
2020-12-29 00:00:00,10.0,5253.0,2.25,1,yes
2020-12-30 00:00:00,2.0,1919.0,0.843,2,yes
2020-12-31 00:00:00,8.0,3242.0,1.38,3,yes
2021-01-01 00:00:00,14.0,3819.0,1.69,4,yes
2021-01-02 00:00:00,9.0,2473.0,1.15,5,yes
2021-01-03 00:00:00,6.0,2294.0,1.03,6,yes
2021-01-04 00:00:00,9.0,6483.0,2.79,0,yes
2021-01-05 00:00:00,7.0,3592.0,1.54,1,yes
2021-01-06 00:00:00,11.0,2864.0,1.22,2,yes
2021-01-07 00:00:00,17.0,4538.0,2.01,3,yes
2021-01-08 00:00:00,6.0,2510.0,1.11,4,yes
2021-01-09 00:00:00,9.0,6776.0,3.25,5,yes
2021-01-10 00:00:00,12.0,3823.0,1.68,6,yes
2021-01-11 00:00:00,12.0,3810.0,1.73,0,yes
2021-01-12 00:00:00,8.0,2460.0,1.08,1,yes
2021-01-13 00:00:00,10.0,3471.0,1.59,2,yes
2021-01-14 00:00:00,5.0,1084.0,0.491,3,yes
2021-01-15 00:00:00,7.0,2966.0,1.29,4,yes
2021-01-16 00:00:00,10.0,6040.0,2.49,5,yes
2021-01-17 00:00:00,15.0,4372.0,1.99,6,yes
2021-01-18 00:00:00,7.0,1581.0,0.752,0,yes
2021-01-19 00:00:00,14.0,6289.0,2.83,1,yes
2021-01-20 00:00:00,10.0,4136.0,2.01,2,yes
2021-01-21 00:00:00,6.0,3592.0,1.74,3,yes
2021-01-22 00:00:00,8.0,3923.0,1.82,4,yes
2021-01-23 00:00:00,10.0,3055.0,1.46,5,yes
2021-01-24 00:00:00,5.0,1885.0,0.908,6,yes
2021-01-25 00:00:00,13.0,7015.0,4.15,0,yes
2021-01-26 00:00:00,6.0,4796.0,2.14,1,yes
2021-01-27 00:00:00,7.0,3349.0,1.55,2,yes
2021-01-28 00:00:00,10.0,5817.0,2.67,3,yes
2021-01-29 00:00:00,11.0,3744.0,1.74,4,yes
2021-01-30 00:00:00,9.0,9006.0,5.01,5,yes
2021-01-31 00:00:00,12.0,8402.0,4.76,6,yes
2021-02-01 00:00:00,13.0,5132.0,2.61,0,yes
2021-02-02 00:00:00,8.0,5984.0,2.95,1,yes
2021-02-03 00:00:00,9.0,3567.0,1.72,2,yes
2021-02-04 00:00:00,7.0,3773.0,1.9,3,yes
2021-02-05 00:00:00,10.0,3857.0,1.88,4,yes
2021-02-06 00:00:00,7.0,3586.0,1.47,5,yes
2021-02-07 00:00:00,3.0,1000.0,0.485,6,yes
2021-02-08 00:00:00,10.0,5269.0,2.72,0,yes
2021-02-09 00:00:00,9.0,3334.0,1.56,1,yes
2021-02-10 00:00:00,4.0,1389.0,0.634,2,yes
2021-02-11 00:00:00,11.0,3612.0,1.68,3,yes
2021-02-12 00:00:00,20.0,5625.0,2.7,4,yes
2021-02-13 00:00:00,4.0,3146.0,1.59,5,yes
2021-02-14 00:00:00,10.0,5607.0,2.64,6,yes
2021-02-15 00:00:00,4.0,2524.0,1.18,0,yes
2021-02-16 00:00:00,9.0,4034.0,1.9,1,yes
2021-02-17 00:00:00,7.0,3959.0,1.92,2,yes
2021-02-18 00:00:00,9.0,5500.0,2.48,3,yes
